JOBCD,JOBCD_NM,JOBCLS,JOBCD_LVL,PPH_FLAG,J_FAMILY_CD,J_FAMILY_NM,J_FUNCTION_CD,J_FUNCTION_NM,J_JOB_NAME,EMP_CLS_KPI,OH_TYPE
X344,Costing L2,X34,4,O,X00,Development,X30,Engineer,Costing,Office Worker,-
X345,Costing L1,X34,5,O,X00,Development,X30,Engineer,Costing,Office Worker,-
X346,Costing Associate,X34,6,O,X00,Development,X30,Engineer,Costing,Office Worker,SOH
X351,YIELD Executive,X35,1,O,X00,Development,X30,Engineer,YIELD,Office Worker,-
X352,YIELD Lead,X35,2,O,X00,Development,X30,Engineer,YIELD,Office Worker,-
X353,YIELD Senior,X35,3,O,X00,Development,X30,Engineer,YIELD,Office Worker,-
X354,YIELD L2,X35,4,O,X00,Development,X30,Engineer,YIELD,Office Worker,-
X355,YIELD L1,X35,5,O,X00,Development,X30,Engineer,YIELD,Office Worker,SOH
X356,YIELD Associate,X35,6,O,X00,Development,X30,Engineer,YIELD,Office Worker,SOH
X361,PFC Executive,X36,1,O,X00,Development,X30,Engineer,PFC,Office Worker,-
X362,PFC Lead,X36,2,O,X00,Development,X30,Engineer,PFC,Office Worker,SOH
X363,PFC Senior,X36,3,O,X00,Development,X30,Engineer,PFC,Office Worker,-
X364,PFC L2,X36,4,O,X00,Development,X30,Engineer,PFC,Office Worker,SOH
X365,PFC L1,X36,5,O,X00,Development,X30,Engineer,PFC,Office Worker,SOH
X366,PFC Associate,X36,6,O,X00,Development,X30,Engineer,PFC,Office Worker,SOH
X411,Visual communicator Executive,X41,1,O,X00,Development,X40,Visual communicator,Visual communicator,Office Worker,-
X412,Visual communicator Lead,X41,2,O,X00,Development,X40,Visual communicator,Visual communicator,Office Worker,-
X413,Visual communicator Senior,X41,3,O,X00,Development,X40,Visual communicator,Visual communicator,Office Worker,-
X414,Visual communicator L2,X41,4,O,X00,Development,X40,Visual communicator,Visual communicator,Office Worker,-
X415,Visual communicator L1,X41,5,O,X00,Development,X40,Visual communicator,Visual communicator,Office Worker,-
X416,Visual communicator Associate,X41,6,O,X00,Development,X40,Visual communicator,Visual communicator,Office Worker,-
X511,Digital Creation Executive,X51,1,O,X00,Development,X50,Digital Creation,Digital Creation,Office Worker,-
X512,Digital Creation Lead,X51,2,O,X00,Development,X50,Digital Creation,Digital Creation,Office Worker,-
X513,Digital Creation Senior,X51,3,O,X00,Development,X50,Digital Creation,Digital Creation,Office Worker,-
X514,Digital Creation L2,X51,4,O,X00,Development,X50,Digital Creation,Digital Creation,Office Worker,-
X515,Digital Creation L1,X51,5,O,X00,Development,X50,Digital Creation,Digital Creation,Office Worker,-
X516,Digital Creation Associate,X51,6,O,X00,Development,X50,Digital Creation,Digital Creation,Office Worker,-
X611,Innovater Executive,X61,1,O,X00,Development,X60,Innovation,Innovater,Office Worker,-
X612,Innovater Lead,X61,2,O,X00,Development,X60,Innovation,Innovater,Office Worker,-
X613,Innovater Senior,X61,3,O,X00,Development,X60,Innovation,Innovater,Office Worker,-
X614,Innovater L2,X61,4,O,X00,Development,X60,Innovation,Innovater,Office Worker,-
X615,Innovater L1,X61,5,O,X00,Development,X60,Innovation,Innovater,Office Worker,-
X616,Innovater Associate,X61,6,O,X00,Development,X60,Innovation,Innovater,Office Worker,-
X621,Explorer Executive,X62,1,O,X00,Development,X60,Innovation,Explorer,Office Worker,-
X622,Explorer Lead,X62,2,O,X00,Development,X60,Innovation,Explorer,Office Worker,-
X623,Explorer Senior,X62,3,O,X00,Development,X60,Innovation,Explorer,Office Worker,-
Z846,Line Cleaning Associate,Z84,6,O,Z00,Service,Z80,Cleaning,Line Cleaning,Office Worker,-
Z912,Parking Lot Lead,Z91,2,O,Z00,Service,Z90,Parking Lot,Parking Lot,Office Worker,-
Z916,Parking Lot Associate,Z91,6,O,Z00,Service,Z90,Parking Lot,Parking Lot,Office Worker,-
ZA12,Doctor Lead,ZA1,2,O,Z00,Service,ZA0,Clinic,doctor,Office Worker,SG&A
ZA16,Doctor Associate,ZA1,6,O,Z00,Service,ZA0,Clinic,doctor,Office Worker,SG&A
ZA22,Nurse Lead,ZA2,2,O,Z00,Service,ZA0,Clinic,nurse,Office Worker,SG&A
ZA26,Nurse Associate,ZA2,6,O,Z00,Service,ZA0,Clinic,nurse,Office Worker,SG&A
B736,Phylon Press Associate,B73,6,D,B00,Bottom,B70,Phylon,Phylon Press,Production Worker,-
B782,EVA Skiving Lead,B78,2,I,B00,Bottom,B70,Phylon,EVA Skiving,Office Worker,-
U166,Screen Associate,U16,6,D,U00,Upper,U10,Upper,Screen,Production Worker,-
U1A6,Laser Cutting Associate,U1A,6,D,U00,Upper,U10,Upper,Laser Cutting,Production Worker,-
U236,Sockliner Cutting Associate,U23,6,D,U00,Upper,U20,Sockliner,Sockliner Cutting,Production Worker,-
XA32,Sample Stockfit Lead,XA3,2,O,X00,Development,XA0,Sample Production,Sample Stockfit,Office Worker,SOH
YB16,Biz.&Sales Associate,YB1,6,O,Y00,Support,YB0,Business & Sales,Biz.&Sales,Office Worker,SG&A
B236,Outsole Press Associate,B23,6,D,B00,Bottom,B20,Outsole,Outsole Press,Production Worker,-
E313,IT Hardware Senior,E31,3,O,E00,IT,E30,IT Maintenance,IT Hardware,Office Worker,SG&A
F311,Material Admin Executive,F31,1,O,F00,Material,F30,Material Admin,Material Admin,Office Worker,-
J316,Bottom tooling Associate,J31,6,O,J00,Jig/Tooling,J30,Bottom tooling,Bottom tooling,Office Worker,OH Indirect
M111,Maintenance Executive,M11,1,O,M00,MEP,M10,MEP,Maintenance,Office Worker,-
M134,Electrical L2,M13,4,O,M00,MEP,M10,MEP,Electrical,Office Worker,OH Indirect
P115,Planning L1,P11,5,O,P00,Planning&Management,P10,Planning,Planning,Office Worker,OH Indirect
Q312,NPI Lead,Q31,2,O,Q00,QA,Q30,CQM,NPI,Office Worker,OH Indirect
Q415,QA Report L1,Q41,5,O,Q00,QA,Q40,QA Report,QA Report,Office Worker,OH Indirect
T115,Trading L1,T11,5,O,T00,Trading,T10,Trading,Trading,Office Worker,OH Indirect
X311,Pattern Engineer Executive,X31,1,O,X00,Development,X30,Engineer,Pettern Engineer,Office Worker,-
M142,Civil Maintenance Lead,M14,2,O,M00,MEP,M10,MEP,Civil Maintenance,Office Worker,OH Indirect
C132,Long term Sickness Lead,C13,2,O,C00,Common,C10,Common,Long term Sickness,Office Worker,SG&A
X915,샘플발송 L1,X91,5,O,X00,Development,X90,Sample Manage,Sample Shipping,Office Worker,-
C134,Long term Sickness L2,C13,4,O,C00,Common,C10,Common,Long term Sickness,Office Worker,-
X914,샘플발송 L2,X91,4,O,X00,Development,X90,Sample Manage,Sample Shipping,Office Worker,-
Z117,비서 L1,Z11,5,O,Z00,Service,Z10,Secretary,Secretary,Office Worker,-
C135,Long term Sickness L1,C13,5,O,C00,Common,C10,Common,Long term Sickness,Office Worker,-
C131,Long term Sickness Executive,C13,1,O,C00,Common,C10,Common,Long term Sickness,Office Worker,-
C133,Long term Sickness Senior,C13,3,O,C00,Common,C10,Common,Long term Sickness,Office Worker,-
